Year,Month,State,MWh
2009,1,MA,0
2009,1,NC,30
2009,1,NJ,37
2009,1,NV,3268
2009,1,PA,23
2009,1,WA,0
2009,2,AZ,1227
2009,2,CA,21923
2009,2,CO,931
2009,2,HI,48
2009,2,IL,0
2009,2,MA,1
2009,2,NC,157
2009,2,NJ,264
2009,2,NV,5771
2009,2,PA,123
2009,2,WA,0
2009,3,AZ,1328
2009,3,CA,55483
2009,3,CO,2511
2009,3,HI,122
2009,3,IL,0
2009,3,MA,4
2009,3,NC,401
2009,3,NJ,673
2009,3,NV,17273
2009,3,PA,313
2009,3,WA,0
2009,4,AZ,1477
2009,4,CA,73053
2009,4,CO,2901
2009,4,HI,157
2009,4,IL,0
2009,4,MA,5
2009,4,NC,514
2009,4,NJ,864
2009,4,NV,20043
2009,4,PA,401
2009,4,WA,0
2009,5,AZ,1261
2009,5,CA,80290
2009,5,CO,3316
2009,5,HI,173
2009,5,IL,0
2009,5,MA,5
2009,5,NC,568
2009,5,NJ,1178
2009,5,NV,23189
2009,5,PA,444
2009,5,WA,0
2009,6,AZ,1216
2009,6,CA,80621
2009,6,CO,2463
2009,6,HI,166
2009,6,IL,0
2009,6,MA,5
2009,6,NC,544
2009,6,NJ,1127
2009,6,NV,16846
2009,6,PA,425
2009,6,WA,0
2009,7,AZ,954
2009,7,CA,94753
2009,7,CO,2865
2009,7,HI,191
2009,7,IL,0
2009,7,MA,6
2009,7,NC,628
2009,7,NJ,1302
2009,7,NV,19997
2009,7,PA,491
2009,7,WA,0
2009,8,AZ,1081
2009,8,CA,85778
2009,8,CO,3319
2009,8,HI,181
2009,8,IL,0
2009,8,MA,6
2009,8,NC,596
2009,8,NJ,1610
2009,8,NV,23257
2009,8,PA,465
2009,8,WA,0
2009,9,AZ,998
2009,9,CA,69448
2009,9,CO,2758
2009,9,HI,146
2009,9,IL,0
2009,9,MA,4
2009,9,NC,480
2009,9,NJ,1559
2009,9,NV,19226
2009,9,PA,375
2009,9,WA,0
2009,10,AZ,1203
2009,10,CA,46652
2009,10,CO,1872
2009,10,FL,3876
2009,10,HI,105
2009,10,IL,0
2009,10,MA,3
2009,10,NC,346
2009,10,NJ,1123
2009,10,NV,12650
2009,10,PA,270
2009,10,WA,0
2009,11,AZ,1086
2009,11,CA,25298
2009,11,CO,1292
2009,11,FL,3179
2009,11,HI,61
2009,11,IL,0
2009,11,MA,2
2009,11,NC,201
2009,11,NJ,653
2009,11,NV,8472
2009,11,PA,157
2009,11,WA,0
2009,12,AZ,927
2009,12,CA,12195
2009,12,CO,819
2009,12,FL,2415
2009,12,HI,30
2009,12,IL,16
2009,12,MA,1
2009,12,NC,97
2009,12,NJ,316
2009,12,NV,4317
2009,12,PA,76
2009,12,WA,0
2010,1,AZ,96.0
2010,1,CA,2152.0
2010,1,CO,437.0
2010,1,FL,3526.0
2010,1,HI,15.0
2010,1,IL,117.0
2010,1,MA,2.0
2010,1,NC,400.0
2010,1,NJ,164.0
2010,1,NV,2913.0
2010,1,OH,0.0
2010,1,PA,45.0
2010,1,TX,0.0
2010,1,WA,0.0
2010,2,AZ,1419.0
2010,2,CA,20378.0
2010,2,CO,907.0
2010,2,FL,3038.0
2010,2,HI,50.0
2010,2,IL,401.0
2010,2,MA,8.0
2010,2,NC,345.0
2010,2,NJ,563.0
2010,2,NV,5560.0
2010,2,OH,0.0
2010,2,PA,154.0
2010,2,TX,0.0
2010,2,WA,0.0
2010,3,AZ,1483.0
2010,3,CA,50549.0
2010,3,CO,2080.0
2010,3,FL,4665.0
2010,3,HI,116.0
2010,3,IL,927.0
2010,3,MA,18.0
2010,3,NC,528.0
2010,3,NJ,1301.0
2010,3,NV,13848.0
2010,3,OH,128.0
2010,3,PA,356.0
2010,3,TX,0.0
2010,3,WA,0.0
2010,4,AZ,2022.0
2010,4,CA,75179.0
2010,4,CO,2667.0
2010,4,FL,8376.0
2010,4,HI,169.0
2010,4,IL,1350.0
2010,4,MA,26.0
2010,4,NC,994.0
2010,4,NJ,1895.0
2010,4,NV,17732.0
2010,4,OH,1352.0
2010,4,PA,518.0
2010,4,TX,0.0
2010,4,WA,0.0
2010,5,AZ,1272.0
2010,5,CA,105767.0
2010,5,CO,3652.0
2010,5,FL,8632.0
2010,5,HI,233.0
2010,5,IL,1860.0
2010,5,MA,36.0
2010,5,NC,1210.0
2010,5,NJ,2610.0
2010,5,NV,25184.0
2010,5,OH,1860.0
2010,5,PA,856.0
2010,5,TX,0.0
2010,5,WA,0.0
2010,6,AZ,1545.0
2010,6,CA,121359.0
2010,6,CO,4581.0
2010,6,FL,8752.0
2010,6,HI,264.0
2010,6,IL,2108.0
2010,6,MA,163.0
2010,6,NC,1227.0
2010,6,NJ,3137.0
2010,6,NV,29839.0
2010,6,OH,2107.0
2010,6,PA,971.0
2010,6,TX,0.0
2010,6,WA,0.0
2010,7,AZ,1076.0
2010,7,CA,116888.0
2010,7,CO,3569.0
2010,7,FL,7623.0
2010,7,HI,244.0
2010,7,IL,1953.0
2010,7,MA,151.0
2010,7,NC,1069.0
2010,7,NJ,2907.0
2010,7,NV,23051.0
2010,7,OH,1950.0
2010,7,PA,899.0
2010,7,TX,0.0
2010,7,WA,0.0
2010,8,AZ,1177.0
2010,8,CA,104828.0
2010,8,CO,4404.0
2010,8,FL,7624.0
2010,8,HI,232.0
2010,8,IL,1856.0
2010,8,MA,144.0
2010,8,NC,1069.0
2010,8,NJ,2761.0
2010,8,NV,29191.0
2010,8,OH,1857.0
2010,8,PA,1250.0
2010,8,TX,0.0
2010,8,WA,0.0
2010,9,AZ,1182.0
2010,9,CA,86224.0
2010,9,CO,6858.0
2010,9,FL,7949.0
2010,9,HI,197.0
2010,9,IL,1572.0
2010,9,MA,122.0
2010,9,NC,1190.0
2010,9,NJ,2339.0
2010,9,NV,27315.0
2010,9,OH,1576.0
2010,9,PA,1059.0
2010,9,TX,0.0
2010,9,WA,0.0
2010,10,AZ,1569.0
2010,10,CA,38658.0
2010,10,CO,4543.0
2010,10,FL,7762.0
2010,10,HI,103.0
2010,10,IL,826.0
2010,10,MA,64.0
2010,10,NC,1266.0
2010,10,NJ,1383.0
2010,10,NM,1041.0
2010,10,NV,16692.0
2010,10,OH,830.0
2010,10,PA,698.0
2010,10,TX,0.0
2010,10,WA,0.0
2010,11,AZ,1496.0
2010,11,CA,33599.0
2010,11,CO,5191.0
2010,11,FL,6430.0
2010,11,HI,96.0
2010,11,IL,767.0
2010,11,MA,59.0
2010,11,NC,1050.0
2010,11,NJ,1286.0
2010,11,NM,3975.0
2010,11,NV,16062.0
2010,11,OH,774.0
2010,11,PA,651.0
2010,11,TX,5359.0
2010,11,WA,0.0
2010,12,AZ,1416.0
2010,12,CA,13751.0
2010,12,CO,3608.0
2010,12,FL,6064.0
2010,12,HI,51.0
2010,12,IL,408.0
2010,12,MA,135.0
2010,12,MD,80.0
2010,12,NC,991.0
2010,12,NJ,738.0
2010,12,NM,3914.0
2010,12,NV,9529.0
2010,12,OH,414.0
2010,12,PA,454.0
2010,12,TX,2849.0
2010,12,WA,0.0
2011,1,AZ,1900.55
2011,2,AZ,2027.3
2011,3,AZ,2745.25
2011,4,AZ,3487.71
2011,5,AZ,3336.26
2011,6,AZ,3199.34
2011,7,AZ,2503.74
2011,8,AZ,2902.21
2011,9,AZ,6260.7
2011,10,AZ,6775.89
2011,11,AZ,17000.95
2011,12,AZ,31208.89
2011,1,CA,576.87
2011,2,CA,34193.38
2011,3,CA,49473.16
2011,4,CA,82499.1
2011,5,CA,100476.77
2011,6,CA,129868.85
2011,7,CA,112272.39
2011,8,CA,138932.54
2011,9,CA,101568.11
2011,10,CA,81334.02
2011,11,CA,29298.43
2011,12,CA,28335.79
2011,1,CO,4739.07
2011,2,CO,5894.59
2011,3,CO,7948.36
2011,4,CO,10233.51
2011,5,CO,11262.57
2011,6,CO,12885.07
2011,7,CO,10009.3
2011,8,CO,11324.14
2011,9,CO,8600.87
2011,10,CO,8494.72
2011,11,CO,5728.03
2011,12,CO,7515.38
2011,3,DE,253.45
2011,4,DE,168.16
2011,5,DE,173.27
2011,6,DE,89.26
2011,7,DE,1293.65
2011,8,DE,1171.71
2011,9,DE,1806.79
2011,10,DE,1008.16
2011,11,DE,1470.36
2011,12,DE,845.0
2011,1,FL,9012.22
2011,2,FL,11729.03
2011,3,FL,19904.59
2011,4,FL,13197.77
2011,5,FL,13604.54
2011,6,FL,7211.46
2011,7,FL,8448.63
2011,8,FL,7639.79
2011,9,FL,11983.63
2011,10,FL,6552.69
2011,11,FL,9746.27
2011,12,FL,6695.39
2011,1,HI,77.04
2011,2,HI,190.82
2011,3,HI,269.52
2011,4,HI,366.3
2011,5,HI,429.44
2011,6,HI,500.36
2011,7,HI,425.74
2011,8,HI,445.88
2011,9,HI,331.69
2011,10,HI,273.81
2011,11,HI,152.54
2011,12,HI,129.86
2011,1,IL,301.52
2011,2,IL,746.81
2011,3,IL,1054.81
2011,4,IL,1433.6
2011,5,IL,1680.71
2011,6,IL,1958.25
2011,7,IL,1666.24
2011,8,IL,1745.05
2011,9,IL,1298.13
2011,10,IL,1071.63
2011,11,IL,597.01
2011,12,IL,508.24
2011,1,MA,96.12
2011,2,MA,238.06
2011,3,MA,336.24
2011,4,MA,456.98
2011,5,MA,535.75
2011,6,MA,624.22
2011,7,MA,531.14
2011,8,MA,556.26
2011,9,MA,413.8
2011,10,MA,341.6
2011,11,MA,190.3
2011,12,MA,444.01
2011,1,MD,156.86
2011,2,MD,203.97
2011,3,MD,345.84
2011,4,MD,229.45
2011,5,MD,236.44
2011,6,MD,121.8
2011,7,MD,144.71
2011,8,MD,131.07
2011,9,MD,400.03
2011,10,MD,223.21
2011,11,MD,325.55
2011,12,MD,187.09
2011,1,NC,2254.82
2011,2,NC,1266.42
2011,3,NC,2381.92
2011,4,NC,1582.02
2011,5,NC,1788.37
2011,6,NC,922.75
2011,7,NC,1095.95
2011,8,NC,1084.38
2011,9,NC,1669.51
2011,10,NC,985.32
2011,11,NC,1434.66
2011,12,NC,914.34
2011,1,NJ,1020.27
2011,2,NJ,2527.06
